count	source	target	ngd
14.0	benznidazole	chagas disease	0.1966150828929622
14.0	pharmaceutical preparations	prostate cancer	0.6479883395472384
14.0	serotonin uptake inhibitors	major depressive disorder	0.2703865147462441
14.0	adriamycin	neoplasm/benign neoplasm	0.6221182460477501
14.0	infliximab	rheumatoid arthritis	0.3951284874811149
14.0	oxacillin	methicillin-resistant staphylococcus aureus infection	0.32008831288743
14.0	tetrodotoxin	contraction (finding)	0.3678188186574081
14.0	mitomycin	urinary bladder cancer	0.4541546955499206
14.0	pharmaceutical preparations	cardiovascular disease	0.5424392385630576
14.0	doxorubicin	leukemia	0.5178631409797558
14.0	trimethoprim-sulfamethoxazole combination	pneumonia	0.4355482214439095
13.0	diuretics	hypertension	0.3916496940296372
13.0	pharmaceutical preparations	status epilepticus	0.6137490072783428
13.0	methotrexate	neoplasm/benign neoplasm	0.6627219866878491
13.0	cisplatin	leukemia	0.584734415968137
13.0	cisplatin	cancer	0.5024907613816086
13.0	lenalidomide	multiple myeloma	0.2671550373866819
13.0	cytotoxic agent (product)	neoplasm/benign neoplasm	0.5847507283222896
13.0	antibiotics	meningitis	0.457494054706362
13.0	antifungal agents/antifungal drug	mycoses	0.1985492535241043
13.0	glyburide	diabetic	0.4417973999168051
13.0	carbamazepine	epilepsy	0.3679791335250499
13.0	pharmaceutical preparations	ulcerative colitis	0.6282323248686645
13.0	pharmaceutical preparations	psychosis	0.587616406883658
13.0	anticonvulsants	epilepsy	0.1952292343764528
13.0	8-azaguanine	mutant	0.5780918191708971
13.0	pharmaceutical preparations	glaucoma	0.5923706354956965
13.0	alteplase	stroke	0.3543478193672715
13.0	estrogen antagonists	breast cancer	0.4087329291058834
12.0	pharmaceutical preparations	septicemia	0.6908216718793685
12.0	vancomycin	septicemia	0.4125210029398583
12.0	anti-inflammatory agents, non-steroidal	rheumatoid arthritis	0.4001211239482465
12.0	digoxin	congestive heart failure/heart failure	0.4223716763084237
12.0	thyroxine	hypothyroidism	0.1968383058294379
12.0	erythromycin	mutant	0.6096068365949858
12.0	antibiotics	diverticulitis	0.5371983972839611
12.0	pharmaceutical preparations	depression	0.5295416168612698
12.0	chloramphenicol	typhoid fever	0.3201389123109254
12.0	pharmaceutical preparations	crohn disease	0.6289123860526988
12.0	antibiotics	acne	0.5023151899384708
12.0	antibiotics	peritonitis	0.4783403698840325
12.0	tamoxifen	breast neoplasm	0.3542022447006296
12.0	antibiotics	virus diseases/viral infection	0.600836851102204
12.0	methacholine	asthma	0.358435573780246
12.0	bronchodilator agents	asthma	0.2887599983490791
12.0	oxygen	chronic obstructive pulmonary disease	0.4377389859793013
12.0	pharmaceutical preparations	traumatic brain injury	0.7238718157910778
12.0	adrenergic beta-antagonists/beta-adrenergic antagonist	cirrhosis/fibrosis	0.5784480525588007
12.0	anti-arrhythmia agents	asymptomatic	0.5593661342240218
12.0	antibiotics	ulcer	0.5863191161869006
12.0	chloramphenicol	mutant	0.5365992282052413
12.0	aspirin	atrial fibrillation	0.4102808515206999
12.0	melphalan	multiple myeloma	0.2661370684362989
12.0	antibiotics	bronchiectasis	0.5288528448681092
11.0	anti-inflammatory agents, non-steroidal	ankylosing spondylitis	0.442783455763537
11.0	antibiotics	abscess	0.4510715846894381
11.0	antibiotics	pain	0.6830490297471384
11.0	pharmaceutical preparations	bipolar disorder	0.5679520096302757
11.0	erlotinib	non-small cell lung carcinoma	0.3105049353421207
11.0	pharmaceutical preparations	inflammatory bowel disease	0.5895306176739888
11.0	capecitabine/fluorouracil	mutant	0.7395604520219299
11.0	angiogenesis inhibitors/angiogenesis inhibitor	neoplasm/benign neoplasm	0.5168004761757622
11.0	aspirin	diabetic	0.5673531259284408
11.0	pharmaceutical preparations	methicillin-resistant staphylococcus aureus infection	0.6934141986769989
11.0	benzodiazepine/benzodiazepines	epilepsy	0.470078825352411
11.0	ranibizumab	diabetic macular edema	0.1690522870475578
11.0	ciprofloxacin	urinary tract infection	0.4023982228804242
11.0	gefitinib	neoplasm/benign neoplasm	0.6151677360774995
11.0	adrenergic beta-antagonists/beta-adrenergic antagonist	hypertensive (finding)	0.3440537335874873
11.0	proteasome inhibitor	multiple myeloma	0.2734204634906546
11.0	anti-inflammatory agents, non-steroidal	arthritis	0.4249661634525199
11.0	imatinib mesylate	chronic myelogenous leukemia	0.2577938186344152
11.0	serotonin uptake inhibitors	obsessive-compulsive disorder	0.2826377859965038
11.0	adriamycin	leukemia	0.5504124718204721
11.0	bevacizumab	diabetic macular edema	0.278788064677394
11.0	tetracycline	gonorrhea	0.4134728268942323
11.0	alteplase	cerebral infarction	0.2945288642043837
11.0	valproate	epilepsy	0.4005188181655226
11.0	nystatin	mutant	0.599948570595522
11.0	doxorubicin	cytotoxicity	0.3578129087410137
11.0	erythromycin	pneumonia	0.4859174973468528
11.0	prednisone	symptom	0.5854637470316039
11.0	antibiotics	sinusitis	0.471422150446006
11.0	microbicides	urinary tract infection	0.3706785703778731
11.0	epidermal growth factor receptor inhibitor (product)	adenocarcinoma	0.4046331731157843
11.0	antibiotics	neutropenia	0.4793865690722895
11.0	gefitinib	adenocarcinoma	0.4107409306241985
10.0	nalidixic acid	mutant	0.5634761768332543
10.0	pharmaceutical preparations	asymptomatic	0.7215333447053724
10.0	epidermal growth factor receptor inhibitor (product)	neoplasm/benign neoplasm	0.598505912060947
10.0	metformin	diabetes mellitus	0.4238725877714422
10.0	antibiotics	respiratory tract infections	0.3861003467357232
10.0	clomiphene/clomiphene citrate	polycystic ovary syndrome	0.2756924859618412
10.0	isotretinoin	acute promyelocytic leukemia	0.2138416645283758
10.0	imipenem	pneumonia	0.4996748314553197
10.0	fluconazole	candidiasis	0.2409552867886298
10.0	cyclosporine	psoriasis	0.4066694910606027
10.0	kanamycin	mutant	0.6058637350810888
10.0	pharmaceutical preparations	vascular dementia	0.6894464523138031
10.0	pharmaceutical preparations	hyperuricemia	0.6279779435224486
10.0	chemotherapeutic agent	neoplasm/benign neoplasm	0.5789687322147454
10.0	antibiotics	otitis media	0.483746742617587
10.0	carboplatin	neoplasm/benign neoplasm	0.6039758978322864
10.0	antidepressive agents	depression	0.2532630202877746
10.0	cyclosporine	symptom	0.6959807468239324
10.0	dexamethasone	multiple myeloma	0.3206497291751849
10.0	pharmaceutical preparations	coronary artery disease	0.5878249377182161
10.0	analgesics, opioid	pain	0.3206677345516315
10.0	capecitabine/fluorouracil	poisoning	0.447549312582567
10.0	imatinib	philadelphia chromosome positive chronic myelogenous leukemia/philadelphia chromosome positive, bcr-abl1 positive chronic myelogenous leukemia	0.3249563200898637
10.0	aspirin	coronary artery disease	0.4780869534143996
10.0	pharmaceutical preparations	multiple myeloma	0.5819038036584675
10.0	anti-arrhythmia agents	sustained ventricular tachycardia/sustained ventricular tachycardia by ecg finding	0.3304600548504052
10.0	pharmaceutical preparations	stroke	0.6108759314415754
10.0	tricyclic antidepressive agents	depression	0.4492265185203773
10.0	pharmaceutical preparations	cirrhosis/fibrosis	0.6344300248214684
10.0	cytarabine	acute myeloid leukemia	0.3046719215934535
10.0	capecitabine/fluorouracil	advanced cancer/advanced malignant neoplasm	0.3058447952500823
10.0	antibiotics	bronchitis	0.4935342248102901
10.0	immunoglobulins, intravenous	thrombocytopenia	0.3757478477558418
10.0	clindamycin	acne	0.3898685392620515
10.0	anti-arrhythmia agents	atrial flutter	0.3454965695036106
10.0	pyrimethamine / sulfadoxine	malaria	0.3032504055135295
10.0	lidocaine	pain	0.468448358899991
10.0	tamoxifen	carcinoma breast stage iv	0.346689213069755
10.0	nifedipine	contraction (finding)	0.3744518858980982
10.0	gefitinib	non-small cell lung carcinoma	0.3015265976196713
10.0	pemetrexed	non-small cell lung carcinoma	0.3526377660689916
10.0	antibiotics	physical findings	0.5458275188352847
9.0	protein-tyrosine kinase inhibitor	gastrointestinal stromal tumor	0.2632304141248871
9.0	microbicides	nosocomial infection	0.3762670639305085
9.0	chemotherapeutic agent	cancer	0.5480418602722069
9.0	immunoglobulins, intravenous	immune thrombocytopenic purpura/idiopathic thrombocytopenic purpura	0.2576617389628429
9.0	purine antagonist	hyperuricemia	0.4759477105828423
9.0	gemcitabine	advanced cancer/advanced malignant neoplasm	0.3279527615372375
9.0	tetracycline	mutant	0.5966715446271234
9.0	antipsychotic agents/antipsychotic agent	tardive dyskinesia	0.3021781199760036
9.0	temozolomide	neoplasm/benign neoplasm	0.5976630446751511
9.0	ribavirin	hepatitis c, chronic/chronic hepatitis c virus infection	0.159019554568719
9.0	metformin	obesity	0.4804069932743974
9.0	antibiotics	melioidosis	0.5343101470652862
9.0	penicillin g	gonorrhea	0.33874527253865
9.0	indomethacin	contraction (finding)	0.3768792429729397
9.0	cefotaxime	pneumonia	0.5326347950668138
9.0	pharmaceutical preparations	plasmodium falciparum infection	0.6291727584509376
9.0	diuretics	hypertensive (finding)	0.3167908547996395
9.0	methotrexate	psoriatic arthritis	0.3613973666959259
9.0	isoniazid	mutant	0.6039528779358629
9.0	pharmaceutical preparations	amyotrophic lateral sclerosis	0.6803909726703643
9.0	antibiotics	wound infection	0.4428400488049406
9.0	hypoglycemic agents	type ii diabetes mellitus/type 2 diabetes mellitus	0.2095956886788587
9.0	diuretics	symptom	0.6429463928033294
9.0	antibiotics	endocarditis	0.4503845395279778
9.0	fludarabine/fludarabine phosphate	chronic lymphocytic leukemia	0.2418777106330795
9.0	adriamycin	cytotoxicity	0.4668040268453713
9.0	streptomycin	tuberculosis	0.4134629427409165
9.0	clomiphene/clomiphene citrate	infertility	0.3330282731615631
9.0	antidote	drug overdose/overdose	0.3545028393341475
9.0	calcium channel blockers	hypertension	0.3938963937758228
9.0	imatinib	lymphoid leukemia	0.4700949883385861
9.0	oral rehydration solution	diarrhea	0.3730378399419926
9.0	oseltamivir	influenza	0.3049005197659709
9.0	bevacizumab	glioblastoma	0.3348805728777619
9.0	calcium channel blockers	hypertensive (finding)	0.3088038848667512
9.0	ceftazidime	pneumonia	0.4983371605869305
9.0	pharmaceutical preparations	small cell lung carcinoma/small cell carcinoma	0.6788996560580862
9.0	ranibizumab	age-related macular degeneration	0.2484783033540436
9.0	pharmaceutical preparations	systemic lupus erythematosus	0.665337333243018
9.0	allopurinol	gout	0.218686746334518
9.0	antibiotics	clostridium difficile infection/clostridium infections	0.4425407016606578
9.0	pharmaceutical preparations	chagas disease	0.6221182976207548
9.0	adrenergic beta-antagonists/beta-adrenergic antagonist	myocardial infarction	0.4242879094414016
8.0	pharmaceutical preparations	cystic fibrosis	0.6717817341685535
8.0	diazepam	epilepsy	0.4408939390075856
8.0	progesterone	traumatic brain injury	0.5675080513605383
8.0	pharmaceutical preparations	lymphoma	0.649539621382797
8.0	trimethoprim-sulfamethoxazole combination	urinary tract infection	0.3779743643656997
8.0	pharmaceutical preparations	autism	0.7063593828166551
8.0	pharmaceutical preparations	adverse event	0.5461787338532831
8.0	thyroxine	symptom	0.6675414686972297
8.0	adrenergic beta-antagonists/beta-adrenergic antagonist	arrhythmia	0.3959443169978954
8.0	imatinib	leukemia	0.4410471831125465
8.0	pharmaceutical preparations	lung cancer	0.632252133993776
8.0	oxygen	retinopathy of prematurity	0.4229072270540753
8.0	agonists	symptom	0.6529832841219557
8.0	pharmaceutical preparations	essential hypertension	0.6059058370879437
8.0	anti-anxiety agents	rheumatoid arthritis	0.6192986088351942
8.0	pharmaceutical preparations	stress urinary incontinence	0.7717763249554446
8.0	antibiotics	pharyngitis	0.4598951442620018
8.0	erythromycin	acne	0.4269101599221389
8.0	antibiotics	bacteriuria	0.5072238036724509
8.0	naloxone	contraction (finding)	0.5185897936540683
8.0	pharmaceutical preparations	fibromyalgia	0.6508238419346204
8.0	anti-inflammatory agents, non-steroidal	osteoarthritis	0.377390730706269
8.0	propranolol	capillary hemangioma	0.2860917114257345
8.0	antibiotics	critical illness	0.5267692303080618
8.0	clozapine	symptom	0.5493059151297286
8.0	microbicides	septicemia	0.3948786215393194
8.0	antibiotics	pulmonary tuberculosis	0.6223554191643536
8.0	cisplatin	advanced cancer/advanced malignant neoplasm	0.319573050740564
8.0	infliximab	crohn disease	0.2853394927897566
8.0	dopaminergic agents	parkinson's disease	0.4211740941508283
8.0	anticoagulant	heparin-induced thrombocytopenia	0.342104681852121
8.0	microbicides	mutant	0.6732622842467327
8.0	bleomycin	germ cell tumor	0.301111705246492
8.0	ciprofloxacin	antimicrobial susceptibility	0.4278083880396352
8.0	anticoagulant	pulmonary embolism	0.3283644995041918
8.0	analgesics, non-narcotic	severe pain	0.4368365575939062
8.0	benzodiazepine/benzodiazepines	status epilepticus	0.3979348171228521
8.0	antibiotics	rhinosinusitis	0.5020752792938019
8.0	antibiotics	chronic infectious disease/chronic infection	0.5133043981892618
8.0	carbamazepine	pain	0.6224441060635397
8.0	pharmaceutical preparations	allergic rhinitis	0.6330367307775949
8.0	antibiotics	osteomyelitis	0.4159517694154971
8.0	pharmaceutical preparations	gastric cancer	0.6850804239399957
8.0	pharmaceutical preparations	psoriasis	0.597013642020787
8.0	pharmaceutical preparations	gastroesophageal reflux disease	0.6275424548870777
8.0	pharmaceutical preparations	congestive heart failure/heart failure	0.5621912683385271
8.0	metformin	polycystic ovary syndrome	0.2485891302084375
8.0	docetaxel	neoplasm/benign neoplasm	0.6048827190338405
8.0	pharmaceutical preparations	pulmonary arterial hypertension	0.6339777488369204
8.0	folic acid	neural tube defect	0.218076391488293
8.0	irinotecan	neoplasm/benign neoplasm	0.6096734703141953
8.0	pharmaceutical preparations	premature ejaculation	0.6309416491072891
8.0	immunoglobulins, intravenous	symptom	0.6226715460161456
8.0	dexamethasone	symptom	0.6842692792000249
8.0	muscarinic antagonists	overactive bladder	0.1825752121602369
8.0	pharmaceutical preparations	ankylosing spondylitis	0.6886331083080887
8.0	zidovudine	hiv infection	0.389589693244288
8.0	protein-tyrosine kinase inhibitor	acute leukemia	0.475687623836825
8.0	pharmaceutical preparations	diarrhea	0.6140372159863245
8.0	pharmaceutical preparations	chronic kidney disease	0.613424120443222
8.0	hydrogen peroxide	mutant	0.5655261382220488
8.0	pharmaceutical preparations	urinary tract infection	0.6787220508444914
8.0	paclitaxel	non-small cell lung carcinoma	0.388103749087677
8.0	bevacizumab	wet macular degeneration	0.2492792168901426
8.0	phosphodiesterase 5 inhibitor	erectile dysfunction/impotence	0.2116441974120344
7.0	calcium channel blockers	diabetic	0.5701503934507518
7.0	cisplatin	poisoning	0.4357210003314587
7.0	ciprofloxacin	gonorrhea	0.3904830047524797
7.0	antidiabetics	type ii diabetes mellitus/type 2 diabetes mellitus	0.3597455149014016
7.0	bevacizumab	neoplasm/benign neoplasm	0.6111738565182464
7.0	pharmaceutical preparations	obstruction	0.6725864936472293
7.0	androgen antagonists	advanced cancer/advanced malignant neoplasm	0.3738682624471964
7.0	pharmaceutical preparations	carcinoma	0.6664570947031252
7.0	ampicillin/pivampicillin	urinary tract infection	0.4445185555013105
7.0	pharmaceutical preparations	mood disorder	0.6009834132251853
7.0	fusidic acid	mutant	0.6322720172812746
7.0	topical form corticosteroids	symptom	0.6096507843367293
7.0	pharmaceutical preparations	irritable bowel syndrome	0.6455478307499101
7.0	fluoxetine	depression	0.4307807866111455
7.0	prazosin	contraction (finding)	0.3985479014521943
7.0	doxorubicin hydrochloride liposome	carcinoma breast stage iv	0.3848298155779767
7.0	pyrimethamine and sulfadoxine	plasmodium falciparum malaria	0.2516932351601548
7.0	antidepressive agents	depression	0.2532630202877746
7.0	streptomycin	multidrug-resistant tuberculosis	0.4060897032203577
7.0	antibiotics	poisoning	0.6348436702474795
7.0	aspirin	cerebral infarction	0.3856259819544733
7.0	microbicides	bacterial infections	0.3548602537430439
7.0	erlotinib	neoplasm/benign neoplasm	0.6194742872494492
7.0	streptomycin	pulmonary tuberculosis	0.4340552964173997
7.0	antibiotics	dysentery	0.5465533529462329
7.0	vincristine	neoplasm/benign neoplasm	0.6353804463934359
7.0	fibrinolytic agents	acute myocardial infarction	0.2882907270479248
7.0	antibiotics	pharyngitis	0.4598951442620018
